Field,Species,Experiment,Revised_irrigation_treatment,Range,Column,Plot,Rep,Type,SbEMS_ID,PI_accession,Harvest_Id,PI_check,,
south,Sorghum bicolor,EMS_pop,WW,06,27,0627,1,experimental,2246,PI 678108,WL19_FL58_SbEMS_BL230,PI 678108,,
south,Sorghum bicolor,EMS_pop,WW,06,28,0628,1,experimental,2806,PI 678163,WL19_FL58_SbEMS_BL413,PI 678163,,
south,Sorghum bicolor,EMS_pop,WW,06,29,0629,1,experimental,1989,PI 678086,WL19_FL58_SbEMS_BL513,PI 678086,,
south,Sorghum bicolor,EMS_pop,WW,06,30,0630,1,experimental,2574,PI 678140,WL19_FL58_SbEMS_BL141,PI 678140,,
south,Sorghum bicolor,EMS_pop,WW,06,31,0631,1,experimental,4410,PI 678331,WL19_FL58_SbEMS_BL291,PI 678331,,
south,Sorghum bicolor,EMS_pop,WW,06,32,0632,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,07,01,0701,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,07,02,0702,1,experimental,2757,PI 678159,WL19_FL58_SbEMS_BL575,PI 678159,,
south,Sorghum bicolor,EMS_pop,WW,07,03,0703,1,experimental,2404,PI 678126,WL19_FL58_SbEMS_BL105,PI 678126,,
south,Sorghum bicolor,EMS_pop,WW,07,04,0704,1,experimental,764,PI 677964,WL19_FL58_SbEMS_BL587,PI 677964,,
south,Sorghum bicolor,EMS_pop,WW,07,05,0705,1,experimental,3310,PI 678219,WL19_FL58_SbEMS_BL599,PI 678219,,
south,Sorghum bicolor,EMS_pop,WW,07,06,0706,1,experimental,2247,PI 678109,WL19_FL58_SbEMS_BL189,PI 678109,,
south,Sorghum bicolor,EMS_pop,WW,07,07,0707,1,experimental,1773,PI 678069,WL19_FL58_SbEMS_BL597,PI 678069,,
south,Sorghum bicolor,EMS_pop,WW,07,08,0708,1,experimental,3715,PI 678263,WL19_FL58_SbEMS_BL31,PI 678263,,
south,Sorghum bicolor,EMS_pop,WW,07,09,0709,1,experimental,935,PI 677982,WL19_FL58_SbEMS_BL461,PI 677982,,
south,Sorghum bicolor,EMS_pop,WW,07,10,0710,1,experimental,2811,PI 678167,WL19_FL58_SbEMS_BL254,PI 678167,,
south,Sorghum bicolor,EMS_pop,WW,07,11,0711,1,experimental,5398,PI 678366,WL19_FL58_SbEMS_BL81,PI 678366,,
south,Sorghum bicolor,EMS_pop,WW,07,12,0712,1,experimental,646,PI 677950,WL19_FL58_SbEMS_BL549,PI 677950,,
south,Sorghum bicolor,EMS_pop,WW,07,13,0713,1,experimental,2307,PI 678114,WL19_FL58_SbEMS_BL586,PI 678114,,
south,Sorghum bicolor,EMS_pop,WW,07,14,0714,1,experimental,1986,PI 678085,WL19_FL58_SbEMS_BL554,PI 678085,,
south,Sorghum bicolor,EMS_pop,WW,07,15,0715,1,experimental,1938,PI 678083,WL19_FL58_SbEMS_BL38,PI 678083,,
south,Sorghum bicolor,EMS_pop,WW,07,16,0716,1,experimental,1562,PI 678044,WL19_FL58_SbEMS_BL367,PI 678044,,
south,Sorghum bicolor,EMS_pop,WW,07,17,0717,1,experimental,2950,PI 678181,WL19_FL58_SbEMS_BL290,PI 678181,,
south,Sorghum bicolor,EMS_pop,WW,07,18,0718,1,experimental,2954,PI 678183,WL19_FL58_SbEMS_BL209,PI 678183,,
